Player,Span,Mat,Inns,NO,Runs,HS,Ave
I Udana,2020-2020,10,4,1,15,10*,5.00
JD Unadkat,2013-2013,13,2,2,2,1*,-
RV Uthappa,2009-2010,31,27,4,549,68*,23.86
RE van der Merwe,2009-2010,11,9,-,123,35,13.66
JJ van der Wath,2011-2011,3,3,1,18,14*,9.00
DL Vettori,2011-2012,22,10,5,54,20,10.80
R Vinay Kumar,2008-2013,64,29,11,237,26*,13.16
Vishnu Vinod,2017-2017,3,3,-,19,9,6.33
M Vohra,2018-2018,4,4,-,55,45,13.75
V Vyshak,2023-2024,11,4,2,14,13*,7.00
Washington Sundar,2018-2021,31,21,6,208,35,13.86
SR Watson,2016-2017,24,22,3,250,36,13.15
CL White,2008-2010,15,13,4,162,31*,18.00
D Wiese,2015-2016,15,8,4,127,47*,31.75
DJ Willey,2022-2023,8,5,3,53,20*,26.50
CR Woakes,2018-2018,5,4,2,17,11,8.50
UT Yadav,2018-2020,27,13,6,28,14,4.00
Yash Dayal,2024-2025,25,1,-,-,-,-
Yuvraj Singh,2014-2014,14,14,3,376,83,34.18
A Zampa,2020-2020,3,-,-,-,-,-
VH Zol,2014-2014,3,2,-,29,16,14.50
